,Supporter ID,Amount,Campaign Date,Campaign ID,days_since_last_donation,gender,region
31256,228320322,13.0,2022-01-01,210405 - GEN - Donate National,,M,West Midlands
15516,207919849,42.0,2022-01-01,210405 - GEN - Donate National,22.0,M,London
9542,207721818,3.0,2022-01-01,210405 - GEN - Donate National,198.0,M,Yorkshire and Humber
21842,208150148,3.0,2022-01-01,210405 - GEN - Donate National,,M,South West
18895,208039249,13.0,2022-01-01,210405 - GEN - Donate National,,nan,South East
11922,207794872,5.0,2022-01-01,210405 - GEN - Donate National,,F,London
27827,208351981,10.0,2022-01-01,210405 - GEN - Donate National,324.0,F,London
31100,227765495,13.0,2022-01-01,210405 - GEN - Donate National,17.0,M,Scotland
5345,207571447,10.0,2022-01-01,210405 - GEN - Donate National,219.0,F,Yorkshire and Humber
11613,207786889,13.0,2022-01-01,210405 - GEN - Donate National,,M,East Midlands
29355,208442121,10.0,2022-01-01,210405 - GEN - Donate National,169.0,M,East Midlands
25125,208263962,20.0,2022-01-01,211111 - MM - Raffle - Winter 2021,,F,South East
10451,207746984,10.0,2022-01-01,210405 - GEN - Donate National,255.0,nan,London
28808,208388434,50.0,2022-01-01,210405 - GEN - Donate National,,F,North West
28393,208367252,100.0,2022-01-01,210405 - GEN - Donate National,66.0,M,Eastern
18269,208014590,10.0,2022-01-01,210405 - GEN - Donate National,247.0,M,London
12064,207797749,51.0,2022-01-01,210405 - GEN - Donate National,65.0,nan,West Midlands
7500,207646711,3.0,2022-01-01,210405 - GEN - Donate National,65.0,M,London
12068,207797948,10.0,2022-01-01,210405 - GEN - Donate National,,F,East Midlands
25997,208297603,5.0,2022-01-01,210405 - GEN - Donate National,91.0,M,North West
24446,208239856,65.0,2022-01-01,210405 - GEN - Donate National,,nan,London
5218,207567973,23.0,2022-01-01,210405 - GEN - Donate National,182.0,nan,North West
20700,208105968,5.0,2022-01-01,210405 - GEN - Donate National,,nan,South West
25805,208290397,5.0,2022-01-01,210405 - GEN - Donate National,52.0,M,West Midlands
4455,207544998,10.0,2022-01-01,210405 - GEN - Donate National,23.0,nan,Eastern
10025,207732007,30.0,2022-01-01,210405 - GEN - Donate National,17.0,M,West Midlands
26778,208322344,13.0,2022-01-01,210405 - GEN - Donate National,,M,South East
18513,208023807,30.0,2022-01-01,210405 - GEN - Donate National,169.0,nan,Wales
16798,207969814,3.0,2022-01-01,210405 - GEN - Donate National,40.0,M,Yorkshire and Humber
25905,208294527,15.0,2022-01-01,210405 - GEN - Donate National,32.0,F,West Midlands
22475,208173511,10.0,2022-01-01,210405 - GEN - Donate National,,M,North
2197,207466246,5.0,2022-01-01,210405 - GEN - Donate National,44.0,nan,Yorkshire and Humber
143,207385684,5.0,2022-01-01,210405 - GEN - Donate National,87.0,nan,South East
12458,207810629,13.0,2022-01-01,210405 - GEN - Donate National,240.0,M,nan
27497,208343254,5.0,2022-01-01,210405 - GEN - Donate National,468.0,M,Wales
27925,208353948,286.0,2022-01-01,210405 - GEN - Donate National,219.0,M,London
8452,207681110,10.0,2022-01-01,210405 - GEN - Donate National,72.0,F,South West
7844,207656796,10.0,2022-01-01,210405 - GEN - Donate National,92.0,M,nan
31136,227765988,10.0,2022-01-01,210405 - GEN - Donate National,64.0,F,nan
19205,208053188,3.0,2022-01-01,210405 - GEN - Donate National,,F,South East
25273,208270525,5.0,2022-01-01,210405 - GEN - Donate National,,nan,West Midlands
728,207408502,10.0,2022-01-01,210405 - GEN - Donate National,51.0,M,East Midlands
10254,207737063,5.0,2022-01-01,210405 - GEN - Donate National,,F,East Midlands
29393,208462315,100.0,2022-01-01,210405 - GEN - Donate National,219.0,F,South West
3894,207524015,10.0,2022-01-01,210405 - GEN - Donate National,105.0,M,South West
25921,208294844,3.0,2022-01-01,210405 - GEN - Donate National,,F,London
11124,207768349,23.0,2022-01-01,210405 - GEN - Donate National,154.0,M,London
31179,227996167,3.0,2022-01-01,210405 - GEN - Donate National,66.0,nan,Scotland
2196,207466218,13.0,2022-01-01,210405 - GEN - Donate National,51.0,M,Eastern
12262,207803336,13.0,2022-01-01,210405 - GEN - Donate National,,F,North West
28449,208369414,5.0,2022-01-01,210405 - GEN - Donate National,,F,South West
23719,208212788,10.0,2022-01-01,210405 - GEN - Donate National,,nan,London
15803,207929877,2.0,2022-01-01,211111 - MM - Raffle - Winter 2021,109.0,F,South West
12913,207820752,3.0,2022-01-01,210405 - GEN - Donate National,49.0,nan,nan
2205,207466567,10.0,2022-01-01,210405 - GEN - Donate National,,M,Eastern
7536,207647681,5.0,2022-01-01,210405 - GEN - Donate National,92.0,F,North West
27092,208331908,3.0,2022-01-01,210405 - GEN - Donate National,,nan,Scotland
20263,208091632,40.0,2022-01-01,210405 - GEN - Donate National,22.0,M,Wales
25332,208272591,121.0,2022-01-01,210405 - GEN - Donate National,295.0,M,South East
13431,207842551,23.0,2022-01-01,210405 - GEN - Donate National,92.0,M,North
11072,207766950,10.0,2022-01-01,210405 - GEN - Donate National,303.0,M,Yorkshire and Humber
25358,208273539,3.0,2022-01-01,210405 - GEN - Donate National,242.0,nan,nan
12242,207802924,10.0,2022-01-01,210405 - GEN - Donate National,,nan,East Midlands
2787,207488607,20.0,2022-01-01,211111 - MM - Raffle - Winter 2021,262.0,nan,West Midlands
14232,207873403,13.0,2022-01-01,210405 - GEN - Donate National,126.0,nan,London
25251,208269897,100.0,2022-01-01,210405 - GEN - Donate National,,F,South East
10649,207753277,13.0,2022-01-01,210405 - GEN - Donate National,8.0,nan,London
6109,207601677,3.0,2022-01-01,210405 - GEN - Donate National,127.0,F,South East
4823,207553334,20.0,2022-01-01,210405 - GEN - Donate National,,nan,Scotland
13930,207865517,3.0,2022-01-01,210405 - GEN - Donate National,324.0,nan,Wales
1323,207427760,13.0,2022-01-01,210405 - GEN - Donate National,191.0,M,Scotland
14402,207877234,3.0,2022-01-01,210405 - GEN - Donate National,205.0,nan,North
29866,209357832,100.0,2022-01-01,210405 - GEN - Donate National,260.0,nan,London
31160,227772975,10.0,2022-01-01,210405 - GEN - Donate National,29.0,M,London
29389,208460815,5.0,2022-01-01,210405 - GEN - Donate National,284.0,F,South West
